Тест Кейс №/ID,TC-RT-002,
Проект,https://b2c.passport.rt.ru/account_b2c/page,
Компонент,Авторизация,
Дата,09.03.2025,
Тестировщик,Андреев Александр QAM-66,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Авторизация по номеру телефона с корректными данными.,
Описание:,Успешная авторизация по номеру телефона с корректными данными.,
Предусловия:,Открыт сайт авторизации Ростелеком ID,
Тестовые данные:,Сайт- https://b2c.passport.rt.ru/account_b2c/page,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыта главная страница входа,Сайт загружен.
2,"Убеждаемся что вкладка авторизации находиться на ""Телефон""","Вкладка находиться на ""Телефон"""
3,"В графе ""Мобильный телефон"" - вводим свой телефон для входа",Успешно ввели свой телефон
4,"В графе ""Пароль"" - вводим свой пароль для входа",Успешно ввели свой пароль
5,Нажимаем войти,Успешная авторизация
