Тест Кейс №/ID,TC-RT-005,,
Проект,https://b2c.passport.rt.ru/account_b2c/page,,
Компонент,Авторизация,,
Дата,09.03.2025,,
Тестировщик,Андреев Александр QAM-66,,
Проверил,,,
Дата проверки,,,
,,,
Название/заголовок,Авторизация по временному коду.,,
Описание:,Успешная авторизация по временному QR коду.,,
Предусловия:,Открыт сайт авторизации Ростелеком ID,,
Тестовые данные:,Сайт- https://b2c.passport.rt.ru/account_b2c/page,,
,,,
Шаг,Описание шага,Ожидаемый результат,
1,Открыта главная страница входа,Сайт загружен.,
2,"Убеждаемся что вкладка авторизации находиться на ""Авторизация по временному QR коду""","Вкладка находиться на ""Авторизация по временному QR коду""",Bug 👾Такой возможности нет
3,Сканируем QR код мобильным приложением,Успешная переадресация на восстановление пароля и email,
4,Отправляем новые данные ,Данные применены,
5,Нажимаем войти,Успешная авторизация,
