Тест Кейс №/ID,TC-RT-011,,
Проект,https://b2c.passport.rt.ru/account_b2c/page,,
Компонент,Регистрация,,
Дата,09.03.2025,,
Тестировщик,Андреев Александр QAM-66,,
Проверил,,,
Дата проверки,,,
,,,
Название/заголовок,Регистрация нового пользователя.,,
Описание:,Успешная регистрация нового пользователя.,,
Предусловия:,Открыт сайт регистрации Ростелеком ID,,
Тестовые данные:,https://b2c.passport.rt.ru/auth/realms/b2c/login-actions/registration?client_id=account_b2c&tab_id=I-VDzAnxSzY,,
,,,
Шаг,Описание шага,Ожидаемый результат,
1,Открыта главная страница входа,Сайт загружен.,
2,"Нажимаем на кнопку ""Зарегистрироваться""",Перенаправление на поле для ввода данных,
3,Вводим данные пользователя и придумываем пароль,"Данные успешно введены, перенаправление на получения кода",
4,Вводим код,"Код успешно введен, перенаправление в личный кабинет","Bug 👾По какой то причине, нас возвращает на поле восстановление пароля. Предположение - был введен распространенный  пароль (Passwd12345)"
