Тест Кейс №/ID,TC-RT-013,
Проект,https://b2c.passport.rt.ru/account_b2c/page,
Компонент,Регистрация,
Дата,09.03.2025,
Тестировщик,Андреев Александр QAM-66,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Регистрация с уже существующим номером телефона.,
Описание:,Проверка регистрация с уже существующим номером телефона. Успех - отказ в регистрации,
Предусловия:,Открыт сайт регистрации Ростелеком ID,
Тестовые данные:,https://b2c.passport.rt.ru/auth/realms/b2c/login-actions/registration?client_id=account_b2c&tab_id=I-VDzAnxSzY,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыта главная страница входа,Сайт загружен.
2,"Нажимаекм на кнопку ""Зарегистрироваться""",Перенаправление на поле для ввода данных
3,Вводим данные пользователя с существующим телефоном и придумываем пароль,"Данные успешно введены, всплывает окно с предупреждением ""Учётная запись уже существует"""
