Тест Кейс №/ID,TC-MAS4-005,,
Проект,Tomoru.Team - https://t.me/mini_app_stage_4_bot,,
Компонент,Профиль/Резюме,,
Дата,08.04.2025,,
Тестировщик,Андреев Александр ,,
Проверил,,,
Дата проверки,,,
,,,
Название/заголовок,"Ввод некорректных данных в резюме в графе ""Опыт работы""",,
Описание:,"Проверка на ошибки в графе ""Опыт работы""",,
Предусловия:,Открыто приложение и резюме уже создано,,
Тестовые данные:,Приложение t.me/mini_app_stage_4_bot,,
,,,
Шаг,Описание шага,Ожидаемый результат,
1,Открыть профиль,Профиль открыт,
2,"Во вкладке ""Мое резюме"" нажимаем на свое резюме",Открывается карточка пользователя,
3,"Выбираем пункт ""Резюме""",Открыта информация по резюме,
4,"Нажать кнопку ""редактировать""",Открывается вкладка с редактированием резюме,
5,"В графе ""Опыт работы"" пробуем изменить дату в месте работы. Выбираем максимальный диапазон вперед или назад. Применяем методику граничных значение. ",Система успешно проверяет правильность заполненных данных.,Bug 👾
